component	upstream_path_or_repo	git_commit	copied_to	size_bytes	sha256	maintained_size_bytes	maintained_sha256	notes
paper	paper-source.zip!/figures/standalone/fig2b_sibling_removal.tex		paper/figures/standalone/fig2b_sibling_removal.tex	811	a86ce52c483c34bc4d4b90cccd8c1c728d93d20ed0f3dc20135f5e548d930dd6	811	a86ce52c483c34bc4d4b90cccd8c1c728d93d20ed0f3dc20135f5e548d930dd6	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig2c_directional_coverage.tex		paper/figures/standalone/fig2c_directional_coverage.tex	675	01edd2ae9f2e14d8f51f5f3a493786a721a7e0bf6989aba838e6ca29e483a0cc	675	01edd2ae9f2e14d8f51f5f3a493786a721a7e0bf6989aba838e6ca29e483a0cc	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig2d_distributed_gain.tex		paper/figures/standalone/fig2d_distributed_gain.tex	826	490f0a25dd73fb309aee45e41baaca7eb73943e433bd81334a50db09a4362f4e	826	490f0a25dd73fb309aee45e41baaca7eb73943e433bd81334a50db09a4362f4e	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig3a_context_trajectory.tex		paper/figures/standalone/fig3a_context_trajectory.tex	1128	17f7f8b4165965bd6fd700c013661dc226753347aa20405824742b1ffc4f6bb1	1128	17f7f8b4165965bd6fd700c013661dc226753347aa20405824742b1ffc4f6bb1	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig3b_deletion_trajectory.tex		paper/figures/standalone/fig3b_deletion_trajectory.tex	1132	d85e1c061df36cde797050515a048bace0b0055ddb154dc6ab1ec449a87c312d	1132	d85e1c061df36cde797050515a048bace0b0055ddb154dc6ab1ec449a87c312d	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig3c_balanced_effects.tex		paper/figures/standalone/fig3c_balanced_effects.tex	865	755174030c32b9d9503620c95f06bd47dc933fb0fce6f05b426e5e136ae3437c	865	755174030c32b9d9503620c95f06bd47dc933fb0fce6f05b426e5e136ae3437c	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig4a_vision_stress.tex		paper/figures/standalone/fig4a_vision_stress.tex	1412	e991d57558225ae5d6a6c9bd6901285a79fc28384cbee029bc9fdceeb2f043a0	1412	e991d57558225ae5d6a6c9bd6901285a79fc28384cbee029bc9fdceeb2f043a0	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig4b_vision_context.tex		paper/figures/standalone/fig4b_vision_context.tex	1451	4e62dc4190a0242c45852471bd71115d882047932535f6efbf7e1bf32f6cefbd	1451	4e62dc4190a0242c45852471bd71115d882047932535f6efbf7e1bf32f6cefbd	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig4c_geometry_natural.tex		paper/figures/standalone/fig4c_geometry_natural.tex	1981	c040aaef11d365e019141a739d99f5f7d2fb022fcd1cc25dccee6009c988945b	1981	c040aaef11d365e019141a739d99f5f7d2fb022fcd1cc25dccee6009c988945b	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig4d_geometry_shape.tex		paper/figures/standalone/fig4d_geometry_shape.tex	1967	4c4c82bc5fd83875ed0cf0a5af3200956ba9c12acc1dd370c2b02faa75cbb6e0	1967	4c4c82bc5fd83875ed0cf0a5af3200956ba9c12acc1dd370c2b02faa75cbb6e0	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig4e_residual_mass.tex		paper/figures/standalone/fig4e_residual_mass.tex	679	b4a1d5a862d17a558e3556ac4f5693636b78d8671f0cb5edd86f737f2341d63f	679	b4a1d5a862d17a558e3556ac4f5693636b78d8671f0cb5edd86f737f2341d63f	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig4f_residual_overlap.tex		paper/figures/standalone/fig4f_residual_overlap.tex	731	54c0d2474d6df08de239bc5549881161d4ec64ff914cdd20061a00ffc776cf28	731	54c0d2474d6df08de239bc5549881161d4ec64ff914cdd20061a00ffc776cf28	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig5a_traffic_utility.tex		paper/figures/standalone/fig5a_traffic_utility.tex	1121	c283a1480f875c75118f25e439dd8a393368413799b856388aae235c30e13a74	1121	c283a1480f875c75118f25e439dd8a393368413799b856388aae235c30e13a74	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig5b_traffic_group.tex		paper/figures/standalone/fig5b_traffic_group.tex	744	4fd6df06c6f93d7c6d8c25b6d2c3e2d72b050365f9a30e829f8b64774a27aaaf	744	4fd6df06c6f93d7c6d8c25b6d2c3e2d72b050365f9a30e829f8b64774a27aaaf	byte-identical copy
paper	paper-source.zip!/figures/standalone/figA_cancellation.tex		paper/figures/standalone/figA_cancellation.tex	528	11437f32df710b5d69dad5b9db69afdec02192acfec792fc2f902b0fda683449	528	11437f32df710b5d69dad5b9db69afdec02192acfec792fc2f902b0fda683449	byte-identical copy
paper	paper-source.zip!/figures/standalone/figA_interface_change.tex		paper/figures/standalone/figA_interface_change.tex	523	22f9443cf67741d7c2b65fed72bc4ae31d477e0902179da9fa3d36954dacc1d1	523	22f9443cf67741d7c2b65fed72bc4ae31d477e0902179da9fa3d36954dacc1d1	byte-identical copy
paper	paper-source.zip!/figures/standalone/figD_geometry_C_natural.tex		paper/figures/standalone/figD_geometry_C_natural.tex	1994	6019d573942c7ce29414ed21c19bf20a6d28241a509b6cb32937569ae8184bc5	1994	6019d573942c7ce29414ed21c19bf20a6d28241a509b6cb32937569ae8184bc5	byte-identical copy
paper	paper-source.zip!/figures/standalone/figD_geometry_C_shape.tex		paper/figures/standalone/figD_geometry_C_shape.tex	1978	eaf36371db8aefe48f2ea250d1a03167ecddab9a9b5a249fa6b5022edf847d6f	1978	eaf36371db8aefe48f2ea250d1a03167ecddab9a9b5a249fa6b5022edf847d6f	byte-identical copy
paper	paper-source.zip!/figures/standalone/figD_geometry_SININ_natural.tex		paper/figures/standalone/figD_geometry_SININ_natural.tex	2002	a2edcee5c547c1b1a4621e505ef68b9dba1b3813d20a29388e6072f1f7231e4c	2002	a2edcee5c547c1b1a4621e505ef68b9dba1b3813d20a29388e6072f1f7231e4c	byte-identical copy
paper	paper-source.zip!/figures/standalone/figD_geometry_SININ_shape.tex		paper/figures/standalone/figD_geometry_SININ_shape.tex	1988	66a27885170b21c59f412addfb2f7afc8ee2518155808c128c620748fb618ef8	1988	66a27885170b21c59f412addfb2f7afc8ee2518155808c128c620748fb618ef8	byte-identical copy
paper	paper-source.zip!/figures/standalone/figF_bert_baseline.tex		paper/figures/standalone/figF_bert_baseline.tex	1419	050033f6663e45d896bef5ec5b9e5a44efe4aafeae0748eb05beb49d871a3c75	1419	050033f6663e45d896bef5ec5b9e5a44efe4aafeae0748eb05beb49d871a3c75	byte-identical copy
paper	paper-source.zip!/figures/standalone/figF_bert_controls.tex		paper/figures/standalone/figF_bert_controls.tex	779	9c4492d7af263a2816f60933822c605f9e7dc5a3cc904b6a40be5079c4b994c2	779	9c4492d7af263a2816f60933822c605f9e7dc5a3cc904b6a40be5079c4b994c2	byte-identical copy
paper	paper-source.zip!/figures/standalone/figF_bert_mid.tex		paper/figures/standalone/figF_bert_mid.tex	1419	34ce451a445a672c052d9d9565683d3c316549e7d47baa719c92380e2ba41554	1419	34ce451a445a672c052d9d9565683d3c316549e7d47baa719c92380e2ba41554	byte-identical copy
paper	paper-source.zip!/figures/figure_style.tex		paper/figures/figure_style.tex	1223	8e59ee98a0e74656dd895af0eaff72417f7628d1424b0539cb3fa19710e6b64d	1223	8e59ee98a0e74656dd895af0eaff72417f7628d1424b0539cb3fa19710e6b64d	byte-identical copy
paper	paper-source.zip!/tables/all_gains.tex		paper/tables/all_gains.tex	650	05d5c2af9c73c840504437b5328473b16f541169601a5e8cafe2ddc14a41f79e	650	05d5c2af9c73c840504437b5328473b16f541169601a5e8cafe2ddc14a41f79e	byte-identical copy
paper	paper-source.zip!/tables/endpoint_effects.tex		paper/tables/endpoint_effects.tex	837	6478dccb8dca13f6dd291b299a4e23de2097452e6dc8364e8df847cb85aee0a0	837	6478dccb8dca13f6dd291b299a4e23de2097452e6dc8364e8df847cb85aee0a0	byte-identical copy
paper	paper-source.zip!/tables/forecasting_panels.tex		paper/tables/forecasting_panels.tex	899	f698d76e1f654bf97160f9c8243dda845062d69ce8be8d9f5c4a64fdc3825faa	899	f698d76e1f654bf97160f9c8243dda845062d69ce8be8d9f5c4a64fdc3825faa	byte-identical copy
paper	paper-source.zip!/tables/generation_diagnostics.tex		paper/tables/generation_diagnostics.tex	548	f4326a6b105fa188063fa540d704b8d5d34ecc1bd6c4c2ac2badd04872502be1	548	f4326a6b105fa188063fa540d704b8d5d34ecc1bd6c4c2ac2badd04872502be1	byte-identical copy
paper	paper-source.zip!/tables/geometry_panels.tex		paper/tables/geometry_panels.tex	1463	2e639f23ddf6d96186d41d220b5f5cd52e35bc9c06da655b2095f88dd3cb1db9	1463	2e639f23ddf6d96186d41d220b5f5cd52e35bc9c06da655b2095f88dd3cb1db9	byte-identical copy
paper	paper-source.zip!/tables/geometry_support.tex		paper/tables/geometry_support.tex	748	ef76c2f910d7b6cae29dd901470a9591247d54b1c8be04e902025425ea7583c0	748	ef76c2f910d7b6cae29dd901470a9591247d54b1c8be04e902025425ea7583c0	byte-identical copy
paper	paper-source.zip!/tables/sibling_effects.tex		paper/tables/sibling_effects.tex	709	cf131fa2a178d73051dde21635e043014620db2a05e43ab435838cb7e8e2205a	709	cf131fa2a178d73051dde21635e043014620db2a05e43ab435838cb7e8e2205a	byte-identical copy
paper	paper-source.zip!/tables/vector_all.tex		paper/tables/vector_all.tex	1547	da9fbfab6b8d70ac22dceb31b40e241a3549a8f32257e77792c254ce716b62dd	1547	da9fbfab6b8d70ac22dceb31b40e241a3549a8f32257e77792c254ce716b62dd	byte-identical copy
paper	paper-source.zip!/tables/vector_main.tex		paper/tables/vector_main.tex	913	a26a107999243a116d5a94e26a5519de3adb6fdcfe414639abedcd6e31320798	913	a26a107999243a116d5a94e26a5519de3adb6fdcfe414639abedcd6e31320798	byte-identical copy
paper	paper-source.zip!/tables/vector_siblings.tex		paper/tables/vector_siblings.tex	798	c873b713fba2594ffa2a3ef418ab5ecf08773dbe6766cf3e37e95d0df808286c	798	c873b713fba2594ffa2a3ef418ab5ecf08773dbe6766cf3e37e95d0df808286c	byte-identical copy
cleaned-bibliography	bootstrap.zip!/references_cleaned.bib		paper/references.bib	6133	6471551902ce9a2ec61cde6c93dfc687b7505b765374de1464726b1ad35e6ca0	6133	6471551902ce9a2ec61cde6c93dfc687b7505b765374de1464726b1ad35e6ca0	byte-identical copy
paper-style	paper-source.zip!/iclr2027_conference.sty		paper/styles/iclr2027_conference.sty	6330	a6c14992c9a90edc2622667c6e22df2827ae8e2182a2298c125b819766263016	6330	a6c14992c9a90edc2622667c6e22df2827ae8e2182a2298c125b819766263016	byte-identical copy
paper-style	paper-source.zip!/fancyhdr.sty		paper/styles/fancyhdr.sty	31715	9130c52f91087abc6d223164ffa587e207e3257fcbcd069ef09ecb5391043f14	31715	9130c52f91087abc6d223164ffa587e207e3257fcbcd069ef09ecb5391043f14	byte-identical copy
paper-style	paper-source.zip!/iclr2027_conference.bst		paper/styles/iclr2027_conference.bst	26816	21eefa76f1c967f5074776fcef096c0f8f2b9e42347e84b62e1dbb121dcae486	26816	21eefa76f1c967f5074776fcef096c0f8f2b9e42347e84b62e1dbb121dcae486	byte-identical copy
paper-style	paper-source.zip!/natbib.sty		paper/styles/natbib.sty	45458	d2709be806dc7d5f54daa9a16022ba1451b1322954751b98e38cfad0cc107450	45458	d2709be806dc7d5f54daa9a16022ba1451b1322954751b98e38cfad0cc107450	byte-identical copy
paper-provenance	paper-source.zip!/README.md		manifests/paper_package/README.md	4614	2484c9130e6bffdc6d6a699f37edb56c02fc4a662946c064975f607b83a09797	4614	2484c9130e6bffdc6d6a699f37edb56c02fc4a662946c064975f607b83a09797	byte-identical copy
paper-provenance	paper-source.zip!/FIGURE_PROVENANCE.md		manifests/paper_package/FIGURE_PROVENANCE.md	15645	aff46aaa878d0b23ee9bf48209e3406cfe4c4012569a80b7ff5824e83601c452	15645	aff46aaa878d0b23ee9bf48209e3406cfe4c4012569a80b7ff5824e83601c452	byte-identical copy
paper-provenance	paper-source.zip!/SOURCE_MAP.md		manifests/paper_package/SOURCE_MAP.md	4900	80791c8b7f11a142a853a04f77a9d755c004e90c05de1a31d747f8688c881a19	4900	80791c8b7f11a142a853a04f77a9d755c004e90c05de1a31d747f8688c881a19	byte-identical copy
paper-provenance	paper-source.zip!/NINE_PAGE_REVISION_NOTES.md		manifests/paper_package/NINE_PAGE_REVISION_NOTES.md	1856	8218e52a13712d082f6acf02f7e32ce07fc4cbe6f4eecc3f9a884707b279eb2c	1856	8218e52a13712d082f6acf02f7e32ce07fc4cbe6f4eecc3f9a884707b279eb2c	byte-identical copy
paper-provenance	paper-source.zip!/WRITING_REVISION_NOTES.md		manifests/paper_package/WRITING_REVISION_NOTES.md	4410	9254cedb1b1e3ba64ec819cc30882860b180bd04b6fa6e87413b60ee7c89f207	4410	9254cedb1b1e3ba64ec819cc30882860b180bd04b6fa6e87413b60ee7c89f207	byte-identical copy
paper-provenance	paper-source.zip!/REVIEW_TO_REVISION.md		manifests/paper_package/REVIEW_TO_REVISION.md	1847	39ce88bdad5b1db4fb013dcd8de4266ccd73dd65b8e924e4aa0147ca72f53576	1847	39ce88bdad5b1db4fb013dcd8de4266ccd73dd65b8e924e4aa0147ca72f53576	byte-identical copy
paper-provenance	paper-source.zip!/FLOAT_LAYOUT_NOTES.md		manifests/paper_package/FLOAT_LAYOUT_NOTES.md	2249	3da21c2b99a3b22cda045679f190072530e63dd24264473ef4155a6bca6346e5	2249	3da21c2b99a3b22cda045679f190072530e63dd24264473ef4155a6bca6346e5	byte-identical copy
paper-provenance	paper-source.zip!/MANIFEST.sha256		manifests/paper_package/MANIFEST.sha256	28460	708337e1cb28b5307e9c120a35160b2445e21cbf8a92d001ecdaba1bf1e9d0e8	28460	708337e1cb28b5307e9c120a35160b2445e21cbf8a92d001ecdaba1bf1e9d0e8	byte-identical copy
paper-provenance	paper-source.zip!/qa/vector_conversion_checks.json		manifests/paper_package/qa/vector_conversion_checks.json	2820	57402f33907732a76b1aafdbb336ca3886ee8e107df38fd801278cc984e3c9bc	2820	57402f33907732a76b1aafdbb336ca3886ee8e107df38fd801278cc984e3c9bc	byte-identical copy
paper-provenance	paper-source.zip!/qa/revision_input_identity.json		manifests/paper_package/qa/revision_input_identity.json	9434	f5b155167979ddc84d1d3976eacdfba1847c7ec5074f7e45d60d0749d52dc773	9434	f5b155167979ddc84d1d3976eacdfba1847c7ec5074f7e45d60d0749d52dc773	byte-identical copy
paper-provenance	paper-source.zip!/qa/vector_evidence_checks.json		manifests/paper_package/qa/vector_evidence_checks.json	547	278aea550dfccb5b5dcdf6fdfab4f239ed77d1f5b12abcb1adc6be62cbe1d6a8	547	278aea550dfccb5b5dcdf6fdfab4f239ed77d1f5b12abcb1adc6be62cbe1d6a8	byte-identical copy
paper-provenance	paper-source.zip!/qa/pre_revision_inputs.json		manifests/paper_package/qa/pre_revision_inputs.json	23537	eb5b18b276c8f385c1cfecdbf4095308f2eaede82eacb03ddc64c0913be19590	23537	eb5b18b276c8f385c1cfecdbf4095308f2eaede82eacb03ddc64c0913be19590	byte-identical copy
paper-provenance	paper-source.zip!/qa/top_float_layout.json		manifests/paper_package/qa/top_float_layout.json	3324	09575a8c2acc0951a3d1c905d06f3772e7896e0a2776893bc0967cb98d9ad53e	3324	09575a8c2acc0951a3d1c905d06f3772e7896e0a2776893bc0967cb98d9ad53e	byte-identical copy
paper-provenance	paper-source.zip!/qa/top_float_clean_build.json		manifests/paper_package/qa/top_float_clean_build.json	1434	a447c114a12db39121bef4713142c4804259ad4fb65719446961267b2848764c	1434	a447c114a12db39121bef4713142c4804259ad4fb65719446961267b2848764c	byte-identical copy
paper-provenance	paper-source.zip!/qa/ninepage_input_snapshot.json		manifests/paper_package/qa/ninepage_input_snapshot.json	27218	ab006bf8d43c8b173c16f7936f22a197e6b5bcc420865ca0bb922520cefe9e45	27218	ab006bf8d43c8b173c16f7936f22a197e6b5bcc420865ca0bb922520cefe9e45	byte-identical copy
paper-provenance	paper-source.zip!/qa/protocol_sources.json		manifests/paper_package/qa/protocol_sources.json	811	d9d281b7a52dd953238603305a86380ec3539c74d87fd20e925b8375fe763f81	811	d9d281b7a52dd953238603305a86380ec3539c74d87fd20e925b8375fe763f81	byte-identical copy
paper-provenance	paper-source.zip!/qa/numeric_checks.json		manifests/paper_package/qa/numeric_checks.json	527	7699ceee284712476af853fec4de0ca80a334f2042cd83b0bf3e2bed891b121b	527	7699ceee284712476af853fec4de0ca80a334f2042cd83b0bf3e2bed891b121b	byte-identical copy
paper-provenance	paper-source.zip!/qa/float_placement.patch		manifests/paper_package/qa/float_placement.patch	18376	8b64a517c2b5b02b29b7f034d095b17c75dae6babb31c81b27a82af41cf74ca8	18376	8b64a517c2b5b02b29b7f034d095b17c75dae6babb31c81b27a82af41cf74ca8	byte-identical copy
paper-provenance	paper-source.zip!/qa/input_identity.json		manifests/paper_package/qa/input_identity.json	23922	377efe92cd7f11808f5ff1333d24233c25a8eb48d1691478843311b0722fd802	23922	377efe92cd7f11808f5ff1333d24233c25a8eb48d1691478843311b0722fd802	byte-identical copy
paper-provenance	paper-source.zip!/qa/PAGE_BY_PAGE_QA.md		manifests/paper_package/qa/PAGE_BY_PAGE_QA.md	1572	c4bd106603488de8c2c032383841d61f4aa32cfda88fef6973a46e27d75f30a6	1572	c4bd106603488de8c2c032383841d61f4aa32cfda88fef6973a46e27d75f30a6	byte-identical copy
paper-provenance	paper-source.zip!/qa/final_build_checks.json		manifests/paper_package/qa/final_build_checks.json	842	c5363e896d1f461adba259ebc28b3c3dbbc27518dd746cbf228932d9914370c9	842	c5363e896d1f461adba259ebc28b3c3dbbc27518dd746cbf228932d9914370c9	byte-identical copy
paper-provenance	paper-source.zip!/qa/ninepage_data_identity.json		manifests/paper_package/qa/ninepage_data_identity.json	320	d3924a1ad157f450f01cab599d23f6af42bd54d47356dad5391d13164ed50ba3	320	d3924a1ad157f450f01cab599d23f6af42bd54d47356dad5391d13164ed50ba3	byte-identical copy
paper-provenance	paper-source.zip!/qa/figure_provenance.json		manifests/paper_package/qa/figure_provenance.json	7248	72b267e4c7111d31e129d4748e7feed5798ecda699c47fb6b2851e8436c25f43	7248	72b267e4c7111d31e129d4748e7feed5798ecda699c47fb6b2851e8436c25f43	byte-identical copy
paper-provenance	paper-source.zip!/qa/PAGE_BY_PAGE_QA_NinePage_Baseline.md		manifests/paper_package/qa/PAGE_BY_PAGE_QA_NinePage_Baseline.md	2340	a88d00592d54da55bdbf9c26db5445d2c376e3a35eb53d93b41a89aab2861bd2	2340	a88d00592d54da55bdbf9c26db5445d2c376e3a35eb53d93b41a89aab2861bd2	byte-identical copy
paper-replay	paper-source.zip!/scripts/read_scalar_parquet.py		scripts/read_scalar_parquet.py	4785	7e20de67aa03b0bdb042d0c2acacff3cb7cd73ee038b6693d49b713fd153b1aa	4785	7e20de67aa03b0bdb042d0c2acacff3cb7cd73ee038b6693d49b713fd153b1aa	byte-identical copy
paper-replay	paper-source.zip!/scripts/build_assets.py		scripts/build_assets.py	31080	0a3feceb8bdaaa10d2dd8a1faeeb12cb404544c1e5e722fc412b90868a057182	31080	0a3feceb8bdaaa10d2dd8a1faeeb12cb404544c1e5e722fc412b90868a057182	byte-identical copy
paper-replay	paper-source.zip!/scripts/build_vector_evidence.py		scripts/build_vector_evidence.py	9420	07b03d72a70add58eb7ba393026e0d72c5010d334da34859744d2c73804bcc4a	9420	07b03d72a70add58eb7ba393026e0d72c5010d334da34859744d2c73804bcc4a	byte-identical copy
paper-frozen	paper-source.zip!/data/original/artifacts/exp11/exp11_shape_bias_ConvNeXtTiny_residuals.npz		data/frozen/vision/artifacts/exp11/exp11_shape_bias_ConvNeXtTiny_residuals.npz	3510	af3ac995c011c920580a24fded748c89dfcdfa99234884f1f70a98c033c1a781	3510	af3ac995c011c920580a24fded748c89dfcdfa99234884f1f70a98c033c1a781	byte-identical copy
paper-frozen	paper-source.zip!/data/original/artifacts/exp11/exp11_shape_bias_EfficientNetB0_residuals.npz		data/frozen/vision/artifacts/exp11/exp11_shape_bias_EfficientNetB0_residuals.npz	3502	498bc779cd50a95601524f556d13cbef5dc5feaaff7ba2ffe1410db2d40f1040	3502	498bc779cd50a95601524f556d13cbef5dc5feaaff7ba2ffe1410db2d40f1040	byte-identical copy
paper-frozen	paper-source.zip!/data/original/artifacts/exp11/exp11_shape_bias_ResNet50_residuals.npz		data/frozen/vision/artifacts/exp11/exp11_shape_bias_ResNet50_residuals.npz	3492	36da5ad15f937439833c5e35fd629c2acc3fc30779d12c452da2dcc08fd406a8	3492	36da5ad15f937439833c5e35fd629c2acc3fc30779d12c452da2dcc08fd406a8	byte-identical copy
paper-frozen	paper-source.zip!/data/original/artifacts/exp11/exp11_shape_bias_ShapeResNet50_SININ_residuals.npz		data/frozen/vision/artifacts/exp11/exp11_shape_bias_ShapeResNet50_SININ_residuals.npz	3488	d8173bbd4bbe770e6a43762ef097947ae193b0f82150b964f654276ed0a57bdd	3488	d8173bbd4bbe770e6a43762ef097947ae193b0f82150b964f654276ed0a57bdd	byte-identical copy
paper-frozen	paper-source.zip!/data/original/artifacts/exp11/exp11_shape_bias_ShapeResNet50_SIN_residuals.npz		data/frozen/vision/artifacts/exp11/exp11_shape_bias_ShapeResNet50_SIN_residuals.npz	3479	b05eca095bef84cb0c996df0e9714cf28eceefc7d89957ace03376efbbc81fe8	3479	b05eca095bef84cb0c996df0e9714cf28eceefc7d89957ace03376efbbc81fe8	byte-identical copy
paper-frozen	paper-source.zip!/data/original/artifacts/exp11/exp11_shape_bias_ShapeResNet50_ShapeResNet_residuals.npz		data/frozen/vision/artifacts/exp11/exp11_shape_bias_ShapeResNet50_ShapeResNet_residuals.npz	3480	a1f36bdde546da977669ca1f439b098ad215a34417d1205b6d3afc4cf6c7db2f	3480	a1f36bdde546da977669ca1f439b098ad215a34417d1205b6d3afc4cf6c7db2f	byte-identical copy
