target,family,dose,aggregate_fit_aggregate_eval,aggregate_fit_trackwise_eval,trackwise_fit_aggregate_eval,trackwise_fit_trackwise_eval,evaluation_correction,fitting_correction,interaction,cancellation_gap,weight_l1_change,weight_l2_change,projected_response_change,rank_correlation_aggregate_to_v22
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.0,0.13104174316146946,0.13104174316146946,0.13243070119933495,0.13243070119933495,-2.7755575615628915e-18,0.001388958037865494,5.551115123125783e-18,0.0,0.07085531229947886,0.03665853422889703,0.006934749990621441,0.9976190476190476
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.1,0.1274786763923354,0.135687025230458,0.12888786491755438,0.1371899741904382,0.008208348838122626,0.0014091885252189892,9.376043476121281e-05,0.008302109272883837,0.07085531229947886,0.03665853422889703,0.006687884521610466,0.9833333333333334
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.2,0.12674028261713166,0.13849628981716247,0.12818490202744354,0.13998751664748751,0.011756007200030803,0.001444619410311855,4.6607420013193567e-05,0.011802614620043993,0.07085531229947886,0.03665853422889703,0.006759718363713916,0.9761904761904763
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.3,0.12301792911361067,0.1370432914244654,0.12410606742462922,0.13846029583690642,0.014025362310854722,0.0010881383110185508,0.00032886610142248416,0.014354228412277209,0.07085531229947886,0.03665853422889703,0.0066143131129017445,0.9690476190476192
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.4,0.11970472343774027,0.13408357050698685,0.12108709248689528,0.13589263497903306,0.01437884706924657,0.0013823690491550106,0.00042669542289120593,0.01480554249213778,0.07085531229947886,0.03665853422889703,0.006462242337648844,0.9738095238095239
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,0.0,0.13479363405293582,0.13479363405293582,0.13669159230080394,0.13669159230080394,-2.7755575615628915e-18,0.001897958247868109,2.7755575615628915e-18,0.0,0.07619779743373603,0.04162553818666161,0.008162086872218397,0.9952380952380953
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,64.0,0.13934103464435577,0.14956229625380074,0.14062246733665268,0.1505918620524795,0.01022126160944497,0.0012814326922969076,-0.00025186689361811896,0.009969394715826849,0.07619779743373603,0.04162553818666161,0.008107821515270673,0.9761904761904763
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,128.0,0.1375841714906278,0.14749800534604035,0.13866859847441448,0.14859974756412214,0.009913833855412571,0.0010844269837866766,1.7315234295089964e-05,0.009931149089707653,0.07619779743373603,0.04162553818666161,0.007992401702265842,0.9595238095238094
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,256.0,0.13444896679969573,0.14196566054410414,0.13518194863237493,0.14267845702787457,0.007516693744408396,0.0007329818326791999,-2.0185348908777213e-05,0.0074965083954996155,0.07619779743373603,0.04162553818666161,0.00820754202476772,0.9785714285714286
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,512.0,0.140097260038204,0.14644739545870217,0.1408748232769252,0.1469660954054859,0.006350135420498171,0.0007775632387212017,-0.00025886329193745285,0.006091272128560712,0.07619779743373603,0.04162553818666161,0.008374778072025423,0.9833333333333334
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.0,0.20745782031219379,0.20745782031219379,0.2075870783783839,0.2075870783783839,0.0,0.00012925806619007164,0.0,0.0,0.05069740696629047,0.02579271575951812,0.004503411834983475,0.9976190476190476
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.1,0.19193471478162066,0.20200371458164385,0.19182830883314,0.20200760492754188,0.010068999800023185,-0.00010640594848062845,0.00011029629437868116,0.010179296094401862,0.05069740696629047,0.02579271575951812,0.0041582548996840305,0.9833333333333334
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.2,0.1852816254573403,0.1986810163767882,0.1853136729698414,0.19871407376447128,0.013399390919447904,3.2047512501087724e-05,1.0098751819953566e-06,0.013400400794629886,0.05069740696629047,0.02579271575951812,0.004009856940278209,0.9761904761904763
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.3,0.17647682745121146,0.19052232385981221,0.17649773764984222,0.1906054894379439,0.014045496408600769,2.0910198630777477e-05,6.225537950087512e-05,0.014107751788101659,0.05069740696629047,0.02579271575951812,0.003942298728730962,0.9690476190476192
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.4,0.1701456946000206,0.18322929270502455,0.17007904188743445,0.1832210785310393,0.013083598105003933,-6.665271258615157e-05,5.843853860092174e-05,0.013142036643604856,0.05069740696629047,0.02579271575951812,0.003901607167318029,0.9738095238095239
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,0.0,0.20753849535292787,0.20753849535292784,0.20762629439971264,0.20762629439971264,-1.1102230246251566e-17,8.779904678478112e-05,5.551115123125783e-18,0.0,0.033098416035808834,0.016418695401144975,0.0030139018400505177,0.9952380952380953
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,64.0,0.19631922195993864,0.20220339069413237,0.19627589363061174,0.20213688214915732,0.005884168734193712,-4.33283293269221e-05,-2.3180215648097024e-05,0.0058609885185455955,0.033098416035808834,0.016418695401144975,0.002891652171546039,0.9761904761904763
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,128.0,0.19733262683482783,0.20176326284643742,0.19735629260178816,0.20180345303700595,0.004430636011609599,2.3665766960331847e-05,1.652442360820794e-05,0.004447160435217798,0.033098416035808834,0.016418695401144975,0.002812750173826575,0.9595238095238094
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,256.0,0.1881740392683864,0.19486052466955037,0.1882780088598947,0.194930820090247,0.006686485401163972,0.0001039695915083183,-3.367417081168722e-05,0.0066528112303522735,0.033098416035808834,0.016418695401144975,0.0027654568870849787,0.9785714285714286
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,512.0,0.18670798232501334,0.19243093085183358,0.18686240721558528,0.19261361298828744,0.005722948526820229,0.0001544248905719303,2.8257245881910255e-05,0.005751205772702134,0.033098416035808834,0.016418695401144975,0.0028220736506817104,0.9833333333333334
google/gemma-3-12b-it,content_deletion,0.0,0.25102776971949536,0.25102776971949536,0.25097913268779387,0.25097913268779387,1.1102230246251566e-17,-4.86370317014706e-05,-1.1102230246251566e-17,0.0,0.11067757565108623,0.048246266235911474,0.007277468719855582,0.9976190476190476
google/gemma-3-12b-it,content_deletion,0.1,0.22907025009010154,0.26040827320513993,0.228965804997165,0.26045965406141447,0.03133802311503838,-0.0001044450929365115,0.00015582594921109138,0.03149384906424948,0.11067757565108623,0.048246266235911474,0.007282144609377553,0.9833333333333334
google/gemma-3-12b-it,content_deletion,0.2,0.22093481660959186,0.2569545228821991,0.22101170669074072,0.25708140083886377,0.03601970627260729,7.689008114885875e-05,4.9987875515786206e-05,0.03606969414812307,0.11067757565108623,0.048246266235911474,0.007118389833737619,0.9761904761904763
google/gemma-3-12b-it,content_deletion,0.3,0.21562356090049173,0.2545702353649065,0.21556924469076094,0.2549099649856836,0.03894667446441478,-5.431620973079809e-05,0.00039404583050789145,0.03934072029492267,0.11067757565108623,0.048246266235911474,0.006869968133847539,0.9690476190476192
google/gemma-3-12b-it,content_deletion,0.4,0.21157193189968485,0.2510185212074071,0.21181692539543837,0.25157594775155584,0.03944658930772228,0.00024499349575350936,0.000312433048395197,0.03975902235611748,0.11067757565108623,0.048246266235911474,0.006616160492319803,0.9738095238095239
google/gemma-3-12b-it,irrelevant_context,0.0,0.2538502994426341,0.2538502994426341,0.25367641444310796,0.25367641444310796,-5.551115123125783e-18,-0.0001738849995261027,5.551115123125783e-18,0.0,0.0458309569477803,0.02079234031932443,0.003114403654533942,0.9952380952380953
google/gemma-3-12b-it,irrelevant_context,64.0,0.24016659143194602,0.2624185923212662,0.24009525240592736,0.26230020011059957,0.02225200088932018,-7.13390260186686e-05,-4.705318464795216e-05,0.0222049477046722,0.0458309569477803,0.02079234031932443,0.003245630913069962,0.9761904761904763
google/gemma-3-12b-it,irrelevant_context,128.0,0.24798898782243808,0.26889323793113185,0.24775394192100092,0.26874083352123834,0.02090425010869376,-0.00023504590143720583,8.264149154369183e-05,0.020986891600237444,0.0458309569477803,0.02079234031932443,0.003288114359848248,0.9595238095238094
google/gemma-3-12b-it,irrelevant_context,256.0,0.25508078430437847,0.27132854155306835,0.2547757956822941,0.2710855221988101,0.016247757248689897,-0.00030498862208442614,6.196926782618684e-05,0.01630972651651608,0.0458309569477803,0.02079234031932443,0.00327652384062345,0.9785714285714286
google/gemma-3-12b-it,irrelevant_context,512.0,0.2538501953884559,0.269686215984746,0.2536928250988083,0.26961545665223624,0.015836020596290173,-0.0001573702896475432,8.66109571377366e-05,0.015922631553427925,0.0458309569477803,0.02079234031932443,0.0033525274582208685,0.9833333333333334
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.0,0.2146148377263894,0.2146148377263894,0.21461902978312378,0.21461902978312378,5.551115123125783e-18,4.192056734325655e-06,5.551115123125783e-18,0.0,0.07150554918256553,0.03451347798832379,0.005794528478936226,0.9976190476190476
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.1,0.20185541718107486,0.2184911712458364,0.2016239131041584,0.2184071838374771,0.01663575406476153,-0.000231504076916475,0.00014751666855719603,0.01678327073331872,0.07150554918256553,0.03451347798832379,0.00541480638719722,0.9833333333333334
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.2,0.19155345467556945,0.2097068862529563,0.19136497225169372,0.20965968102544558,0.018153431577386855,-0.00018848242387573544,0.00014127719636503332,0.018294708773751896,0.07150554918256553,0.03451347798832379,0.0052835496489692475,0.9761904761904763
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.3,0.1854099821564994,0.20568123299424218,0.185409664219303,0.20574881528765662,0.02027125083774276,-3.179371963979438e-07,6.790023061087891e-05,0.020339151068353635,0.07150554918256553,0.03451347798832379,0.005199758499817873,0.9690476190476192
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.4,0.17896746716578804,0.19951687749468114,0.1790099836688511,0.19957769283898386,0.020549410328893094,4.251650306306698e-05,1.8298841239650087e-05,0.020567709170132738,0.07150554918256553,0.03451347798832379,0.005096162852445761,0.9738095238095239
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,0.0,0.21420463225042902,0.21420463225042902,0.2140843804681009,0.2140843804681009,-2.7755575615628915e-18,-0.00012025178232809575,0.0,0.0,0.028766171676312215,0.01371420186246328,0.0025141515679087687,0.9952380952380953
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,64.0,0.20147589629351098,0.21490154274405732,0.20122470216633914,0.21468496319254063,0.013425646450546318,-0.00025119412717182764,3.4614575655142475e-05,0.013460261026201455,0.028766171676312215,0.01371420186246328,0.002524031831676108,0.9761904761904763
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,128.0,0.1941850072434436,0.209070157964984,0.19399501619772516,0.2088816650575458,0.01488515072154038,-0.00018999104571841287,1.4981382802398135e-06,0.014886648859820628,0.028766171676312215,0.01371420186246328,0.002509631761353173,0.9595238095238094
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,256.0,0.19151503396274916,0.20133857689303092,0.1914573619485776,0.20123427525860776,0.009823542930281745,-5.767201417155865e-05,-4.662962025156481e-05,0.009776913310030177,0.028766171676312215,0.01371420186246328,0.0025202256748794644,0.9785714285714286
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,512.0,0.18886722350334664,0.19716692095508562,0.18882746578632367,0.19710203110699548,0.008299697451738978,-3.9757717022953495e-05,-2.5132131067168162e-05,0.008274565320671811,0.028766171676312215,0.01371420186246328,0.00254172630665977,0.9833333333333334
microsoft/Phi-4-reasoning-plus,content_deletion,0.0,0.14359215587668567,0.14359215587668567,0.1433610329326883,0.1433610329326883,-2.7755575615628915e-18,-0.00023112294399737777,0.0,0.0,0.044742978731739325,0.020168742995963513,0.0037811111018381804,0.9976190476190476
microsoft/Phi-4-reasoning-plus,content_deletion,0.1,0.1390262762526764,0.14568749561805883,0.13867760472906115,0.14533240070779244,0.006661219365382413,-0.0003486715236152765,-6.4233866511193005e-06,0.006654795978731297,0.044742978731739325,0.020168742995963513,0.003520561532949869,0.9833333333333334
microsoft/Phi-4-reasoning-plus,content_deletion,0.2,0.1431223900610487,0.1499622215481196,0.14289919311711186,0.14967799693690872,0.006839831487070863,-0.00022319694393687362,-6.102766727398013e-05,0.006778803819796886,0.044742978731739325,0.020168742995963513,0.0033855595850705925,0.9761904761904763
microsoft/Phi-4-reasoning-plus,content_deletion,0.3,0.1428208149093736,0.15172474499859304,0.14262854723922486,0.15143783556988077,0.008903930089219431,-0.0001922676701487408,-9.464175856351287e-05,0.008809288330655909,0.044742978731739325,0.020168742995963513,0.0033899243555877224,0.9690476190476192
microsoft/Phi-4-reasoning-plus,content_deletion,0.4,0.14387560845035086,0.15161802547435674,0.14366407870320635,0.15129480753649963,0.007742417024005893,-0.00021152974714450378,-0.00011168819071262492,0.007630728833293262,0.044742978731739325,0.020168742995963513,0.0032887105785907784,0.9738095238095239
microsoft/Phi-4-reasoning-plus,irrelevant_context,0.0,0.14642800283870144,0.14642800283870144,0.14645465187971027,0.14645465187971027,-5.551115123125783e-18,2.6649041008844353e-05,1.1102230246251566e-17,0.0,0.024857348734133325,0.011855392260381964,0.002091271332817901,0.9952380952380953
microsoft/Phi-4-reasoning-plus,irrelevant_context,64.0,0.14535387594588017,0.15413154356309405,0.145267462777975,0.154038174201289,0.008777667617213897,-8.641316790517495e-05,-6.956193899879115e-06,0.008770711423314018,0.024857348734133325,0.011855392260381964,0.0020509946399094097,0.9761904761904763
microsoft/Phi-4-reasoning-plus,irrelevant_context,128.0,0.1517899936605876,0.1606574486112698,0.15166511085402004,0.1605544151104805,0.008867454950682186,-0.00012488280656758056,2.184930577827926e-05,0.008889304256460465,0.024857348734133325,0.011855392260381964,0.0020210074266858737,0.9595238095238094
microsoft/Phi-4-reasoning-plus,irrelevant_context,256.0,0.15555558484732487,0.1621361273095689,0.1553853621797465,0.16197246411872418,0.006580542462244032,-0.00017022266757837356,6.559476733628e-06,0.006587101938977649,0.024857348734133325,0.011855392260381964,0.0019535420382720122,0.9785714285714286
microsoft/Phi-4-reasoning-plus,irrelevant_context,512.0,0.15896872076655447,0.16389278597072673,0.15876144910396323,0.16372176980227518,0.004924065204172287,-0.00020727166259125186,3.625549413968365e-05,0.004960320698311979,0.024857348734133325,0.011855392260381964,0.001967338941448843,0.9833333333333334
microsoft/phi-4,content_deletion,0.0,0.21355898111958407,0.21355898111958407,0.2132696235507308,0.2132696235507308,0.0,-0.0002893575688532435,0.0,0.0,0.08651192688960813,0.045884218487536536,0.008187612960187537,0.9976190476190476
microsoft/phi-4,content_deletion,0.1,0.21346001326979672,0.2239937541783295,0.21382473368060667,0.22409683692882282,0.010533740908532796,0.0003647204108099822,-0.000261637660316702,0.010272103248216096,0.08651192688960813,0.045884218487536536,0.0077478812392575685,0.9833333333333334
microsoft/phi-4,content_deletion,0.2,0.20696631977522778,0.2245128828845809,0.20775737556996102,0.22526009708193845,0.017546563109353108,0.000791055794733217,-4.3841597375696153e-05,0.017502721511977407,0.08651192688960813,0.045884218487536536,0.007609660767890758,0.9761904761904763
microsoft/phi-4,content_deletion,0.3,0.20065497559162854,0.22368192063054101,0.20129334694738973,0.2242930129922819,0.023026945038912477,0.000638371355761208,-2.7278994020310533e-05,0.022999666044892182,0.08651192688960813,0.045884218487536536,0.007656228789855332,0.9690476190476192
microsoft/phi-4,content_deletion,0.4,0.1958382081497516,0.21912527715258712,0.19673897981635524,0.22015614808430492,0.023287069002835486,0.0009007716666036114,0.00013009926511422243,0.023417168267949703,0.08651192688960813,0.045884218487536536,0.007692999234323056,0.9738095238095239
microsoft/phi-4,irrelevant_context,0.0,0.2162160603573779,0.2162160603573779,0.21687676313096832,0.21687676313096832,2.7755575615628915e-18,0.0006607027735904214,-5.551115123125783e-18,0.0,0.05667520558051377,0.02733411734687676,0.0047703833752734,0.9952380952380953
microsoft/phi-4,irrelevant_context,64.0,0.23417497527700473,0.24640654055165928,0.23460474433934508,0.24674946600943143,0.012231565274654568,0.00042976906234035714,-8.68436045682458e-05,0.012144721670086326,0.05667520558051377,0.02733411734687676,0.004601303790177101,0.9761904761904763
microsoft/phi-4,irrelevant_context,128.0,0.24166246330184818,0.2517284563074557,0.24210642853095748,0.2520958098758359,0.010065993005607588,0.00044396522910934987,-7.6611660729195e-05,0.009989381344878399,0.05667520558051377,0.02733411734687676,0.004548544973631779,0.9595238095238094
microsoft/phi-4,irrelevant_context,256.0,0.24709377894757178,0.2563935549920112,0.2473543512015739,0.2567007341040133,0.00929977604443943,0.00026057225400210883,4.6606857999947905e-05,0.009346382902439384,0.05667520558051377,0.02733411734687676,0.004660386354056216,0.9785714285714286
microsoft/phi-4,irrelevant_context,512.0,0.24605408807863732,0.25163466754794334,0.24658242851935336,0.2522455193528809,0.005580579469306022,0.0005283404407160824,8.251136422152417e-05,0.005663090833527532,0.05667520558051377,0.02733411734687676,0.004822586342321132,0.9833333333333334
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.0,0.17216090549946478,0.17216090549946478,0.17209282752173832,0.17209282752173832,-5.551115123125783e-18,-6.807797772643564e-05,2.7755575615628915e-18,0.0,0.05001818140617108,0.024612254647955037,0.004245217278825856,0.9976190476190476
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.1,0.16096542042523562,0.16775678548314205,0.16065666734134804,0.16738977024017684,0.006791365057906409,-0.0003087530838875974,-5.826215907760723e-05,0.006733102898828799,0.05001818140617108,0.024612254647955037,0.003990564198456855,0.9833333333333334
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.2,0.1515769068030959,0.16387980938751062,0.1514489116546786,0.16368734032381424,0.012302902584414716,-0.00012799514841727865,-6.447391527908408e-05,0.012238428669135623,0.05001818140617108,0.024612254647955037,0.003782879329149523,0.9761904761904763
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.3,0.1423752888021969,0.15602103263374836,0.14209937669138123,0.1558576034104811,0.013645743831551446,-0.0002759121108156959,0.00011248288754845126,0.013758226719099908,0.05001818140617108,0.024612254647955037,0.003707950905025978,0.9690476190476192
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.4,0.12947458254980132,0.14559780362740812,0.12930869345241194,0.14543283662731682,0.016123221077606796,-0.00016588909738938923,9.22097298093616e-07,0.01612414317490488,0.05001818140617108,0.024612254647955037,0.0035723481391069867,0.9738095238095239
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,0.0,0.17301646123484066,0.17301646123484066,0.17276312447599967,0.17276312447599967,2.7755575615628915e-18,-0.0002533367588409857,-2.7755575615628915e-18,0.0,0.038087432978384406,0.017225930644632497,0.0026298240389910996,0.9952380952380953
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,64.0,0.16058332417886964,0.16766773230488968,0.1605704472802572,0.16766703139053177,0.007084408126020061,-1.2876898612426691e-05,1.2175984254492178e-05,0.007096584110274551,0.038087432978384406,0.017225930644632497,0.0027113308377301696,0.9761904761904763
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,128.0,0.1605270905258633,0.16771222962244786,0.1605677353478574,0.16771523389559923,0.0071851390965845365,4.0644821994068046e-05,-3.764054884271562e-05,0.007147498547741824,0.038087432978384406,0.017225930644632497,0.0026924391857758526,0.9595238095238094
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,256.0,0.15274768149334075,0.15968626316710352,0.15261669163332642,0.15956198369864222,0.006938581673762758,-0.0001309898600143522,6.7103915530331015e-06,0.006945292065315786,0.038087432978384406,0.017225930644632497,0.0026394697345078102,0.9785714285714286
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,512.0,0.1510667185557043,0.15690610486014958,0.1510184254838084,0.1568567729384267,0.005839386304445268,-4.829307189590792e-05,-1.0388498269536806e-06,0.005838347454618314,0.038087432978384406,0.017225930644632497,0.0026690599965061897,0.9833333333333334
